vendor_name,service,criticality,data_accessed,art30_contract_clauses,exit_strategy_doc,last_review_date,notes
PostgreSQL (The PostgreSQL Global Development Group),Relational database — primary data store,CRITICAL,"Customer PII, financial transactions, account balances, audit logs",N/A — open-source; no vendor contract,docs/dora/exit-strategy-template.md,[FILL],Open-source; self-hosted. Exit: migrate to another RDBMS (MySQL/MariaDB/CockroachDB). See exit-strategy.
Redis Ltd,In-memory cache — rate limiting and session data,HIGH,"Rate-limit counters, session tokens (ephemeral)",N/A — open-source; no vendor contract,docs/dora/exit-strategy-template.md,[FILL],Open-source; self-hosted. Exit: replace with Memcached or application-level caching.
Spring / VMware Tanzu (Broadcom),Application framework — backend runtime,HIGH,None directly — framework processes all application data,N/A — open-source (Apache 2.0),docs/dora/exit-strategy-template.md,[FILL],Open-source. Exit: significant rewrite required; mitigated by broad community support.
React (Meta Platforms),Frontend UI library,MEDIUM,None — client-side rendering only,N/A — open-source (MIT),docs/dora/exit-strategy-template.md,[FILL],Open-source. Exit: replace with Vue/Angular/Svelte; moderate effort.
Vite (Evan You / VoidZero),Frontend build tooling,LOW,None — build-time only,N/A — open-source (MIT),N/A,[FILL],Build-time dependency only. Exit: replace with Webpack/esbuild.
TanStack Query,Frontend data-fetching library,MEDIUM,None directly — manages API call lifecycle,N/A — open-source (MIT),N/A,[FILL],Open-source. Exit: replace with SWR or manual fetch logic.
Axios,HTTP client library,MEDIUM,None directly — transports API requests,N/A — open-source (MIT),N/A,[FILL],Open-source. Exit: replace with native fetch API.
Tailwind CSS (Tailwind Labs),CSS utility framework,LOW,None — styling only,N/A — open-source (MIT),N/A,[FILL],Build-time dependency. Exit: rewrite styles in plain CSS.
Flyway (Red Gate Software),Database schema migration,HIGH,"Database schema definitions, migration scripts",N/A — open-source (Apache 2.0),docs/dora/exit-strategy-template.md,[FILL],Open-source edition used. Exit: migrate to Liquibase or manual SQL scripts.
Bucket4j,Rate-limiting library,MEDIUM,None — processes request metadata only,N/A — open-source (Apache 2.0),N/A,[FILL],Open-source. Exit: replace with Spring Cloud Gateway rate limiter or custom implementation.
Caffeine (Ben Manes),In-process caching library,LOW,Rate-limit counters (ephemeral),N/A — open-source (Apache 2.0),N/A,[FILL],Open-source. Exit: replace with Guava Cache or EhCache.
JJWT (jsonwebtoken),JWT token library,HIGH,"JWT signing keys, authentication tokens",N/A — open-source (Apache 2.0),N/A,[FILL],Open-source. Exit: replace with Nimbus JOSE+JWT or Spring Security OAuth2.
MailHog,Email testing server,LOW,Test email content (dev-only),N/A — open-source; dev-only,N/A,[FILL],Dev-only — never deployed to production. No exit strategy needed.
GitHub (Microsoft),Source code hosting and CI/CD,CRITICAL,"Source code, CI/CD secrets, build artifacts",[FILL — review GitHub Enterprise ToS],docs/dora/exit-strategy-template.md,[FILL],Proprietary SaaS. Exit: migrate to GitLab/Bitbucket; export repos + Actions → GitLab CI.
Docker (Docker Inc),Container runtime and image registry,HIGH,"Container images, build context",N/A — open-source (Apache 2.0) + Docker Hub ToS,[FILL],[FILL],Open-source runtime; Docker Hub is SaaS. Exit: switch to Podman + alternative registry.
